pool,block_number,block_hash,block_time,log_index,tx_hash,sender,recipient,amount0,amount1,sqrt_price_x96,liquidity,price,tick
mypool,35826412,0x29b4c94224cc27b26291c9b020498fdc2e1bc84509f6b2f3f268e05ee140c033,1667767655,5,0x29b4c94224cc27b26291c9b020498fdc2e1bc84509f6b2f3f268e05ee140c033,sender,recipient,-0.49538763772755945,20.0,500898502028506741267653866225,0,39970566020935.48,36883
mypool,35826438,0x315fcf447e0e834ad02996b70a06b3811ee8674d02922e76343b3ab1f73d163b,1667767663,3,0x315fcf447e0e834ad02996b70a06b3811ee8674d02922e76343b3ab1f73d163b,sender,recipient,-0.49534139186743775,20.0,500921883277433559212438651700,0,39974297649447.52,36884
mypool,35826469,0x1b26bfd2e0cfecfd6c48ed5652833744856d4f529175c64eb2b06e2ad2682704,1667767672,7,0x1b26bfd2e0cfecfd6c48ed5652833744856d4f529175c64eb2b06e2ad2682704,sender,recipient,-0.49529515248278977,20.0,500945264526360377157223437175,0,39978029452142.766,36885
mypool,35826500,0x8b25408f5a747e358fb95e9e15b56308cc955e810f58c1ebdd85b6ae944e6b8a,1667767680,10,0x8b25408f5a747e358fb95e9e15b56308cc955e810f58c1ebdd85b6ae944e6b8a,sender,recipient,-0.49524891957240663,20.0,500968645775287195102008222650,0,39981761429021.19,36886
mypool,35826528,0xdff3e2c71f0d223576ced217181726ec7e2a1e006cab349f17c76a2648e682fa,1667767688,3,0xdff3e2c71f0d223576ced217181726ec7e2a1e006cab349f17c76a2648e682fa,sender,recipient,-0.4952026931350797,20.0,500992027024214013046793008125,0,39985493580082.81,36887
mypool,35826546,0x9df0768dfecacf126eed217676f7eb28dfcfa12d4ac95b787b8b9e7117ce057a,1667767695,3,0x9df0768dfecacf126eed217676f7eb28dfcfa12d4ac95b787b8b9e7117ce057a,sender,recipient,-2.2849492678896177,92.30758,501099940349504621125975866526,0,40002721128879.2,36891
mypool,35826558,0xce7dd700e26ba31c42e0f7fd50041f1cddf1e74059e674d6514987be67e3b0a3,1667767698,3,0xce7dd700e26ba31c42e0f7fd50041f1cddf1e74059e674d6514987be67e3b0a3,sender,recipient,-0.494943234342807,20.0,501123321598431439070760652001,0,40006454258045.445,36892
mypool,35826651,0xf7a067eaf9679f5356487d8b54e048da0cf56a286927171ca2cf38a5bcd78b08,1667767731,3,0xf7a067eaf9679f5356487d8b54e048da0cf56a286927171ca2cf38a5bcd78b08,sender,recipient,-0.4948970506967766,20.0,501146702847358257015545437476,0,40010187561394.88,36893
mypool,35826789,0x79e35d3806a4ea600cb9fae7fe32c709a859578240e779b28755e24a27b73888,1667767781,3,0x79e35d3806a4ea600cb9fae7fe32c709a859578240e779b28755e24a27b73888,sender,recipient,-0.49485087351460755,20.0,501170084096285074960330222951,0,40013921038927.51,36894
mypool,35826812,0x6e40f98be93e7fcd7b00e8b128240f4e58c740181c07e2c088a687704aefe302,1667767789,3,0x6e40f98be93e7fcd7b00e8b128240f4e58c740181c07e2c088a687704aefe302,sender,recipient,-0.49480470279509375,20.0,501193465345211892905115008426,0,40017654690643.32,36895
